scinam_birdtree,Xeno_cantoID,Date,Country,Locality,LAT,LON,Elevation,Recording length,Peak_frequency,Peak_frequency2
epimachus bruijnii,XC209645,2014-07-29,Indonesia,"Nimbokrang, Papua",-2.5831,140.1608,70,65,1722.7,1722.7
epimachus bruijnii,XC301440,2015-10-25,Indonesia,"Nimbokrang, Jayapura, Papua",-2.569,140.0911,70,152,1550.4,1550.4
epimachus fastuosus,XC64636,2005-04-26,Papua New Guinea,"Hides Range, Southern Highlands Province",-5.9487,142.7456,2160,26,1378.1,1378.1
epimachus fastuosus,XC40287,2009-07-31,Indonesia," Arfak Mountains, Vogelkop, Papua",-1.0656,133.7859,N/A,18,1550.4,1550.4
epimachus fastuosus,XC215333,2014-12-24,Papua New Guinea," Arfak Mountains, Vogelkop, Papua",-1.0656,133.7859,1400,224,2928.5,2928.5
epimachus fastuosus,XC308500,2016-03-13,Papua New Guinea," Rondon Ridge, Mount Hagen, Dei District, Western Highlands Province",-5.8537,144.2615,2700,21,1378.1,1378.1
Epimachus meyeri,XC279452,1999-08-04,Papua New Guinea," """"""""""""""""Ambua Lodge"""""""""""""""" area, Southern Highlands Province",-5.962,143.067,2080,5,2067.2,2067.2
Epimachus meyeri,XC18880,2007-06-24,Papua New Guinea,"Kumul Lodge, Enga province",-5.7912,143.9706,2600,6,2411.7,2411.7
Epimachus meyeri,XC409360,2007-07-04,Papua New Guinea,"Pigites trail near Kumul Lodge, Enga province",-5.7912,143.9706,2800,49,2067.2,2067.2
Epimachus meyeri,XC40300,2009-07-19,Indonesia,"Baliem Valley, Papua",-4.021381,138.896885,N/A,127,3100.8,3100.8
Epinecrophylla erythrura,XC249911,2002-01-30,Ecuador,Morona-Santiago: e-slope Cord. de Cutucú: Unnsuants,-2.55,-77.9,850,100,5684.8,5684.8
Epinecrophylla erythrura,XC226507,2006-02-17,Ecuador,"Gareno Lodge, Napo",-1.035,-77.399,N/A,32,5857,5857
Epinecrophylla erythrura,XC61331,2010-08-18,Ecuador," Yasuní Research Station, Parque Nacional Yasuní, Orellana",-0.6742,-76.3978,250,37,6029.3,6029.3
Epinecrophylla erythrura,XC258396,1997-01-00,Peru,Loreto: between Iquitos and mouth of Río Napo,-3.6,-73.15,100,29,6373.8,6373.8
Epinecrophylla fjeldsaai,XC249144,1994-07-11,Ecuador,Orellana: 'Maxus' road km 37 (27 km SSE Pompeya),-0.641,-76.461,250,143,5857,5857
Epinecrophylla fjeldsaai,XC17266,2008-01-05,Ecuador,"Yasuní Research Station, Parque Nacional Yasuní, Orellana",-0.6742,-76.3978,280,63,6890.6,6890.6
Epinecrophylla fjeldsaai,XC61333,2010-08-18,Ecuador,"Yasuní Research Station, Parque Nacional Yasuní, Orellana",-0.6742,-76.3978,250,53,6201.6,6201.6
Epinecrophylla fjeldsaai,XC69824,2011-01-07,Ecuador,"Yasuní Research Station, Parque Nacional Yasuní, Orellana",-0.6742,-76.3978,250,21,6373.8,6373.8
Epinecrophylla fjeldsaai,XC94664,2012-02-09,Ecuador,"Providencia Trail, Parque Nacional Yasuni, Orellana",-0.5001,-76.4603,280,46,6373.8,6373.8
Epinecrophylla fulviventris,XC250819,2004-07-03,Ecuador,Pichincha: Río Guaycuyacu,0.217,-78.89,550,60,6546.1,6546.1
Epinecrophylla fulviventris,XC17458,2008-01-14,Ecuador,"Rio Silanche, Pedro Vicente Maldonado, Pichincha",0.1431,-79.1334,400,59,7062.9,7062.9
Epinecrophylla fulviventris,XC271265,2015-02-25,Panama,Pipeline road,9.136797,-79.72363,N/A,35,6718.4,6718.4
Epinecrophylla fulviventris,XC297203,2015-07-10,Ecuador,El Oro: upper Buenaventura reserve,-3.649,-79.749,900,17,7579.7,7579.7
Epinecrophylla fulviventris,XC363941,2017-04-10,Panama,"Pipeline Road, Soberania NP",9.1332,-79.7195,70,58,6546.1,6546.1
Epinecrophylla haematonota,XC7127,2003-05-23,Peru,"Manu Wildlife Centre, Madre de Dios
",-12.3992,-70.702,260,34,6546.1,6546.1
Epinecrophylla haematonota,XC11983,2006-01-25,Peru," 2km from Nanay River, near Mishana",-3.894826,-73.495445,100,57,6546.1,6546.1
Epinecrophylla haematonota,XC9913,2007-01-06,Venezuela,"Rio Caura south of Maripa, Bolivar",7.1167,-64.9667,N/A,40,6890.6,6890.6
Epinecrophylla haematonota,XC81763,2011-06-09,Colombia,"Mitu, Vaupes",1.2598,-70.2367,190,45,6718.4,6718.4
Epinecrophylla haematonota,XC167345,2014-02-09,Brazil,"Machadinho d'Oeste, Rondônia",-8.7602,-62.2513,90,36,6201.6,6201.6
Epinecrophylla leucophthalma,XC88135,2003-03-28,Brazil,"Guajará-Mirim, RO. c.20 km SE of Pakaas Palafitas Lodge",-10.9666,-65.2026,130,72,5857,5857
Epinecrophylla leucophthalma,XC226544,2005-07-26,Brazil,"Rio Cristalino Jungle Lodge, Mato Grosso",-9.45,-55.9,200,37,6373.8,6373.8
Epinecrophylla leucophthalma,XC122767,2011-06-22,Peru,"Manu Learning Center, Madre de Dios",-12.7945,-71.3979,500,37,6718.4,6718.4
Epinecrophylla leucophthalma,XC330792,2016-08-01,Brazil,"Sinop, Mato Grosso",-11.7523,-55.6349,360,58,5340.2,5340.2
Epinecrophylla ornata,XC226580,2005-01-12,Brazil,"Carajás, Salobo area, Pará",-5.916666667,-50.5,N/A,31,6718.4,6718.4
Epinecrophylla ornata,XC345615,2005-10-29,Brazil,Serra dos Carajás. Grota Funda road,-5.9642,-50.3653,240,48,5512.5,5512.5
Epinecrophylla ornata,XC30316,2009-02-06,Brazil," Serra dos Carajás, PA",-6.1603,-50.3459,740,35,5168,5168
