"source","id","Title","taxon","file","author","post_date","size","size_raw","type","NonSpecimen","Date","Time","Duration"
"ColinBirds","Site1-A-sd_card-BG08_20171231_150000","","","Site1/A-sd_card/Data01a/BG08_20171231_150000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_153000","","","Site1/A-sd_card/Data01a/BG08_20171231_153000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_160000","","","Site1/A-sd_card/Data01a/BG08_20171231_160000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_163000","","","Site1/A-sd_card/Data01a/BG08_20171231_163000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_170000","","","Site1/A-sd_card/Data01a/BG08_20171231_170000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_173000","","","Site1/A-sd_card/Data01a/BG08_20171231_173000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_180000","","","Site1/A-sd_card/Data01a/BG08_20171231_180000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_183000","","","Site1/A-sd_card/Data01a/BG08_20171231_183000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_190000","","","Site1/A-sd_card/Data01a/BG08_20171231_190000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_193000","","","Site1/A-sd_card/Data01a/BG08_20171231_193000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_200000","","","Site1/A-sd_card/Data01a/BG08_20171231_200000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_203000","","","Site1/A-sd_card/Data01a/BG08_20171231_203000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_210000","","","Site1/A-sd_card/Data01a/BG08_20171231_210000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_213000","","","Site1/A-sd_card/Data01a/BG08_20171231_213000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_220000","","","Site1/A-sd_card/Data01a/BG08_20171231_220000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_223000","","","Site1/A-sd_card/Data01a/BG08_20171231_223000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_230000","","","Site1/A-sd_card/Data01a/BG08_20171231_230000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_233000","","","Site1/A-sd_card/Data01a/BG08_20171231_233000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20180101_000000","","","Site1/A-sd_card/Data01a/BG08_20180101_000000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20180101_003000","","","Site1/A-sd_card/Data01a/BG08_20180101_003000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20180101_010000","","","Site1/A-sd_card/Data01a/BG08_20180101_010000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20180101_013000","","","Site1/A-sd_card/Data01a/BG08_20180101_013000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20180101_020000","","","Site1/A-sd_card/Data01a/BG08_20180101_020000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20180101_023000","","","Site1/A-sd_card/Data01a/BG08_20180101_023000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20180101_030000","","","Site1/A-sd_card/Data01a/BG08_20180101_030000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20180101_033000","","","Site1/A-sd_card/Data01a/BG08_20180101_033000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20180101_040000","","","Site1/A-sd_card/Data01a/BG08_20180101_040000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20180101_043000","","","Site1/A-sd_card/Data01a/BG08_20180101_043000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20180101_050000","","","Site1/A-sd_card/Data01a/BG08_20180101_050000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20180101_053000","","","Site1/A-sd_card/Data01a/BG08_20180101_053000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_060000","","","Site1/B-sd_card/Data01b/BG08_20180101_060000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_063000","","","Site1/B-sd_card/Data01b/BG08_20180101_063000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_070000","","","Site1/B-sd_card/Data01b/BG08_20180101_070000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_073000","","","Site1/B-sd_card/Data01b/BG08_20180101_073000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_080000","","","Site1/B-sd_card/Data01b/BG08_20180101_080000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_083000","","","Site1/B-sd_card/Data01b/BG08_20180101_083000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_090000","","","Site1/B-sd_card/Data01b/BG08_20180101_090000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_093000","","","Site1/B-sd_card/Data01b/BG08_20180101_093000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_100000","","","Site1/B-sd_card/Data01b/BG08_20180101_100000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_103000","","","Site1/B-sd_card/Data01b/BG08_20180101_103000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_110000","","","Site1/B-sd_card/Data01b/BG08_20180101_110000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
